Prime Number,Prime Gap,Gap Ratio,Proximity to Golden Ratio,Modulo 10 Feature,Complex Polar Angle,Complex Polar Radius,Dimensionality (Inferred),Source
31,2,"$0.33$ ,  $0.333$ ,  $3.0$","$1.285$ ,  $1.288$ ,  $1.382$",1,"$0.31$  (Inferred),  $1.345$ ,  $2.730$ ,  $3.434$ ,  $31$","$1$ ,  $5.567$  (Inferred),  $31.0$ ,  $37.0$ ,  $69.318$ ,  $e^{31}$","5D, 11D, 4.9D (Inferred)","11, 12, 17, 41, 42, 58, 78, 79, 83, 88, 94-96"
37,6,"$0.666$ ,  $3.0$","$0.952$ ,  $1.382$",7,"$0.37$  (Inferred),  $1.345$ ,  $3.003$","$6.082$  (Inferred),  $37.0$ ,  $82.735$","4D, 5D, 12D, 5.2D (Inferred)","41, 42, 56, 73, 78, 79, 94, 95"
41,4,$0.667$,$0.951$,1,"$1.107$ ,  $3.276$","$41.0$ ,  $91.679$","4D, 13D","42, 78, 79, 94, 95"
43,2,$0.5$,$1.118$,3,"$1.345$ ,  $3.548$","$43.0$ ,  $96.151$","4D, 14D","42, 78, 79, 94, 95"
47,4,$2.0$,$0.382$,7,"$1.345$ ,  $3.821$","$47.0$ ,  $105.095$","4D, 15D","42, 78, 79, 94, 95"
53,6,$1.5$,$0.118$,3,"$1.107$ ,  $4.094$","$53.0$ ,  $118.512$","4D, 16D","42, 78, 79, 94, 95"
59,6,$1.0$,$0.618$,9,"$1.107$ ,  $4.366$","$59.0$ ,  $131.928$","4D, 17D","42, 78, 79, 94, 95"
61,2,$0.333$,$1.285$,1,"$1.107$ ,  $4.639$","$61.0$ ,  $136.399$","4D, 18D","42, 78, 79, 94, 95"
67,6,$3.0$,$1.382$,7,"$1.107$ ,  $4.912$","$67.0$ ,  $149.816$","4D, 19D","42, 78, 79, 94, 95"
71,4,$0.667$,$0.951$,1,"$1.345$ ,  $5.185$","$71.0$ ,  $158.760$","4D, 20D","42, 78, 79, 94, 95"
73,2,$0.5$,$1.118$,3,"$1.107$ ,  $5.457$","$73.0$ ,  $163.231$",4D,"42, 78, 79"
79,6,$3.0$,$1.382$,9,"$1.345$ ,  $5.730$","$79.0$ ,  $176.648$",4D,"42, 78, 79"
83,4,$0.667$,$0.951$,3,"$1.107$ ,  $6.003$","$83.0$ ,  $185.592$",4D,"42, 78, 79"
89,"6, 66, 76","$0.75$ ,  $1.33$ ,  $1.5$ ,  $6.846$ ,  $9.5$","$0.0001$ ,  $0.077$ ,  $0.118$ ,  $0.868$ ,  $5.228$ ,  $7.882$",9,"$1.533$ ,  $1.618$ ,  $2.244$ ,  $4.489$ ,  $6.276$","$1$ ,  $27.048$ ,  $4.489$ ,  $89$ ,  $89.0$ ,  $199.009$","5D, 6D, 11D, 24D, 3D Twist / Reversal","4-7, 9, 21, 23, 28, 29, 32, 42-46, 49, 61-65, 67, 68, 77-79, 82, 88, 90, 97-99"
101,"4, 12","$0.667$ ,  $2.0$","$0.382$ ,  $0.951$",1,$2.307$,"$1.141$ ,  $10.050$ ,  $101$",6D,"40, 63, 100-103"
233,"4, 6, 144","$0.66$ ,  $1.5$ ,  $1.89$ ,  $2.0$ ,  $2.618$","$0.244$ ,  $0.272$ ,  $0.382$ ,  $0.958$ ,  $1.000$",3,"$1.345$ ,  $5.451$","$1$ ,  $233.0$ ,  $521.0$","5D, 6D","16, 17, 21, 23, 45, 46, 49, 54, 61-63, 65, 67, 68, 77-79, 99"
997,6,Not in source,Not in source,7,$5.418$  rad,$11.172$,High dimensional,10
1597,"10, 14, 1364","$3.5$ ,  $6.854$ ,  $9.47$","$1.882$ ,  $5.236$ ,  $7.852$",7,$7.376$,"$1$ ,  $1597.0$",7D,"6, 7, 16, 17, 45, 46, 61-63, 65, 67, 99"
28657,14,Not in source,Not in source,7,Not in source,Not in source,8D,46
104729,Not in source,Not in source,Not in source,9,$6.12$  rad,$324.29$,High dimensional,10
514229,6,Not in source,Not in source,9,Not in source,Not in source,9D,46
